rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,千早爱音要坦荡荡,总督,562,恬豆包,31
2,3546692863396694,早睡早起1855,提督,267,恬豆包,30
3,149522,sed-i,提督,562,恬豆包,29
4,12071021,纯良小羊,提督,610,恬豆包,29
5,31798725,牛之七,提督,82,恬豆包,28
6,79614621,悲山秋雨落,提督,152,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,621,恬豆包,28
8,30502624,爱喝奶茶的发面馒头,提督,245,恬豆包,27
9,2794950,梦怡少年,提督,362,恬豆包,27
10,491121103,绯桂大好き,提督,398,恬豆包,27
11,69190175,小梦-逝去的青春,提督,80,恬豆包,27
12,36269533,君ゆゆゆ魚,提督,56,恬豆包,26
13,12205426,千稻草,提督,11,恬豆包,25
14,356892,阿斯特赖亚丶,提督,42,恬豆包,25
15,13927696,Marriovo,提督,45,恬豆包,25
16,150434129,桓殳,提督,33,恬豆包,25
17,2314835,KugimiyaNanase,舰长,592,恬豆包,29
18,1302082741,粗鲁卑鄙,舰长,701,恬豆包,29
19,225883915,诸多夏日以后天鹅之死,舰长,718,恬豆包,29
20,385944,宝宝喝点水吧,舰长,391,恬豆包,29
21,319263289,神棍老师麦迪武,舰长,225,恬豆包,29
22,7833154,nothing-iwnl-,舰长,802,恬豆包,28
23,2058228,冰尾青年事件簿,舰长,131,恬豆包,28
24,2482872,财前葵,舰长,472,恬豆包,28
25,2966435,叙星晨,舰长,682,恬豆包,28
26,4631465,禧浴搓澡巾,舰长,383,恬豆包,28
27,224670,毛玉喵,舰长,532,恬豆包,28
28,400702,月神二号,舰长,631,恬豆包,28
29,1686289594,丸梨普贝当,舰长,961,恬豆包,28
30,39140611,海蓝丶胜者悲歌,舰长,395,恬豆包,28
31,431956406,我的颜栗只有你,舰长,412,恬豆包,27
32,59955258,这个昵称已经有鬼用过了,舰长,291,恬豆包,27
33,124003269,曲婉的小跟班,舰长,375,恬豆包,27
34,26892910,大于3个小于30个字符,舰长,1087,恬豆包,27
35,39088057,ZZzzzKk_,舰长,201,恬豆包,27
36,43667411,蒼のエーテル,舰长,545,恬豆包,27
37,93214,o秋-知弦o,舰长,143,恬豆包,27
38,12613525,矮摇摊,舰长,112,恬豆包,27
39,32438573,自爆前的沙鲁,舰长,466,恬豆包,27
40,4464599,天曦,舰长,519,恬豆包,27
41,19531191,大老师Gin,舰长,51,恬豆包,27
42,38600609,二月暨望,舰长,231,恬豆包,27
43,2941287,问问拿哪张医院预诊单,舰长,201,恬豆包,27
44,97097355,大夢惊鸿,舰长,409,恬豆包,27
45,102748146,我要发动我的技能,舰长,464,恬豆包,26
46,12796481,绯色丶花,舰长,561,恬豆包,26
47,5850658,rofflecake,舰长,112,恬豆包,26
48,1580640,劝你纯良,舰长,562,恬豆包,26
49,151082,暴躁的妹唄唄,舰长,887,恬豆包,26
50,47943455,恬豆加油,舰长,309,恬豆包,26
51,27126376,大盒甜,舰长,220,恬豆包,26
52,111580180,月光鹿角,舰长,111,恬豆包,26
53,215156666,全点防御高咲侑,舰长,352,恬豆包,26
54,22020361,我很中怡栗,舰长,441,恬豆包,26
55,6052395,知非晓默,舰长,481,恬豆包,26
56,57116,郭德纲,舰长,226,恬豆包,26
57,49855368,想起恐怖的事,舰长,70,恬豆包,26
58,5114175,桔子棉花糖orange,舰长,505,恬豆包,26
59,95807009,无人问许,舰长,83,恬豆包,26
60,90938464,梨寶的戀愛單日券,舰长,562,恬豆包,26
61,10826177,瑜木踢西瓜,舰长,1012,恬豆包,26
62,3270926,YO最爱甜豆的鱼,舰长,171,恬豆包,26
63,264495479,逗逗阿丶,舰长,232,恬豆包,26
64,13637836,A-B-C-K,舰长,423,恬豆包,26
65,143641,御意見無用-,舰长,262,恬豆包,26
66,57134664,唯怡豆女乃,舰长,142,恬豆包,26
67,4429890,十堰张湾阿姨,舰长,503,恬豆包,26
68,18637086,丶芯丨,舰长,262,恬豆包,26
69,47734615,士多啤栗少吃俊,舰长,76,恬豆包,26
70,381373415,豆奶为你痴,舰长,227,恬豆包,26
71,2106805,SPYNGELION,舰长,772,恬豆包,26
72,177936092,幼稚占领高地,舰长,262,恬豆包,26
73,1671780767,真麻烦胡乱起一个,舰长,383,恬豆包,26
74,9970815,-古原-,舰长,202,恬豆包,26
75,26984312,格罗宁根的老汉,舰长,411,恬豆包,26
76,404140110,奈尔露菲雅,舰长,588,恬豆包,26
77,32283784,普通小随,舰长,286,恬豆包,26
78,1519588,虎落平阳变北7,舰长,81,恬豆包,26
79,24643425,睡觉中zzz,舰长,81,恬豆包,26
80,648561547,丸子战犬Darwin1,舰长,46,恬豆包,26
81,71993,月颗千,舰长,517,恬豆包,26
82,59379500,灬亲亲握握灬,舰长,713,恬豆包,26
83,15712025,秒我中子,舰长,201,恬豆包,26
84,100545100,木有云Q,舰长,262,恬豆包,26
85,32166499,一般小豆,舰长,275,恬豆包,26
86,273213275,沐霖牛车偷吃我彩色矿,舰长,45,恬豆包,26
87,2905159,HAX-ER,舰长,82,恬豆包,26
88,18935096,罗撒菲斯,舰长,203,恬豆包,26
89,691885237,狱卒小吏,舰长,115,恬豆包,26
