rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,165,恬豆包,28
2,225883915,飘啊飘啊飘啊飘_,舰长,616,恬豆包,29
3,477273649,盐奶盖冷萃加氮,舰长,985,恬豆包,28
4,149522,sed-i,舰长,508,恬豆包,28
5,385944,宝宝喝点水吧,舰长,289,恬豆包,28
6,12071021,纯良小羊,舰长,508,恬豆包,28
7,1686289594,丸梨普贝当,舰长,859,恬豆包,28
8,8573986,氕氘氚丿丿l丿ll,舰长,235,恬豆包,27
9,39140611,海蓝丶胜者悲歌,舰长,293,恬豆包,27
10,26892910,大于3个小于30个字符,舰长,985,恬豆包,27
11,4464599,天曦,舰长,417,恬豆包,27
12,400702,月神二号,舰长,529,恬豆包,27
13,96635934,流泪人吾皇,舰长,989,恬豆包,27
14,6665522,辣牛奶不吃辣,舰长,995,恬豆包,26
15,408030089,流明的雨,舰长,180,恬豆包,26
16,1580640,劝你纯良,舰长,490,恬豆包,26
17,151082,暴躁的妹唄唄,舰长,785,恬豆包,26
18,6052395,知非晓默,舰长,379,恬豆包,26
19,215156666,全点防御高咲侑,舰长,292,恬豆包,26
20,10826177,瑜木踢西瓜,舰长,951,恬豆包,26
21,90938464,永远的鸟厨烈焰使,舰长,486,恬豆包,26
22,22020361,中怡栗栗子,舰长,382,恬豆包,26
23,30502624,爱喝奶茶的发面馒头,舰长,143,恬豆包,26
24,47943455,恬豆加油,舰长,212,恬豆包,26
25,4429890,徐佳莹丶LaLa,舰长,452,恬豆包,26
26,143641,御意見無用-,舰长,203,恬豆包,26
27,2106805,SPYNGELION,舰长,670,恬豆包,26
28,381373415,豆奶为你痴,舰长,170,恬豆包,26
29,404140110,奈尔露菲雅,舰长,486,恬豆包,26
30,59379500,灬亲亲握握灬,舰长,611,恬豆包,25
31,71993,月颗千,舰长,415,恬豆包,25
32,13637836,A-B-C-K,舰长,327,恬豆包,25
33,20270543,Rayarq,舰长,486,恬豆包,25
34,7556692,举年i,舰长,486,恬豆包,25
35,2450291,风涛不记苏,舰长,253,恬豆包,25
36,20555867,riru_Kazumi,舰长,325,恬豆包,25
37,32166499,一般小豆,舰长,173,恬豆包,25
38,4104624,天才美少女恬豆,舰长,365,恬豆包,25
39,235455359,玉光剑气张遥星,舰长,325,恬豆包,25
40,14689199,VentusJeff,舰长,235,恬豆包,25
41,35201973,森林图书馆,舰长,172,恬豆包,24
42,110375756,Einherjar,舰长,150,恬豆包,24
43,76787436,咫尺天涯间99,舰长,142,恬豆包,24
44,201450098,唱着歌弹着斑鸠,舰长,86,恬豆包,24
45,34011514,木可走首,舰长,142,恬豆包,24
46,211946101,戛纳大影帝,舰长,115,恬豆包,23
47,6609157,吾辈是柳絮,舰长,124,恬豆包,23
48,52709855,须弥感,舰长,124,恬豆包,23
49,5164976,にしきごい-,舰长,124,恬豆包,23
50,3546582301542999,烁焰512,舰长,124,恬豆包,23
51,299179629,iqbssbqi88,舰长,124,恬豆包,23
52,25137085,Jaime2Lannister,舰长,150,恬豆包,23
53,1972389896,bili_45792247048,舰长,124,恬豆包,23
54,161225119,花语凝夜,舰长,124,恬豆包,23
55,123281107,Yukinoa结城希亚的喵,舰长,145,恬豆包,23
56,11621965,沐渍唐,舰长,145,恬豆包,23
57,1150609275,金鱼大仙Studio,舰长,145,恬豆包,23
58,8207824,地球OL国服第一混,舰长,87,恬豆包,23
59,290893127,福禄王权,舰长,115,恬豆包,23
60,13066685,风逝reuxd,舰长,115,恬豆包,23
61,481118003,金鱼大鲸鱼,舰长,115,恬豆包,23
62,1669695555,あい秋天_,舰长,115,恬豆包,23
63,393319752,打豆豆haha,舰长,115,恬豆包,23
64,7906121,XDzz4,舰长,115,恬豆包,23
65,49177011,戏言侦探莉丝佳,舰长,115,恬豆包,23
66,400791585,一个自律的石头,舰长,115,恬豆包,23
67,3546646537308935,小阿的守夜人,舰长,115,恬豆包,23
68,3494374950308320,写意胜行,舰长,115,恬豆包,23
69,247305905,爱吃肉的小白老师,舰长,115,恬豆包,23
70,241007,虚煌星,舰长,115,恬豆包,23
71,21770450,superMac_,舰长,115,恬豆包,23
72,13583559,尼耶什格_川子,舰长,115,恬豆包,23
73,12692409,老板断气老板尸体铅钢,舰长,115,恬豆包,23
74,10633758,默默陌摸鱼,舰长,115,恬豆包,23
75,24608573,恬怡弄人,舰长,81,恬豆包,22
76,111580180,月光鹿角,舰长,51,恬豆包,22
77,5850658,rofflecake,舰长,54,恬豆包,22
