rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,豆奶粉头,总督,582,恬豆包,31
2,3546692863396694,顺顺栗栗1855,提督,287,恬豆包,30
3,2314835,KugimiyaNanase,提督,611,恬豆包,29
4,31798725,牛之七,提督,102,恬豆包,28
5,79614621,悲山秋雨落,提督,172,恬豆包,28
6,30502624,爱喝奶茶的发面馒头,提督,265,恬豆包,28
7,2794950,梦怡少年,提督,382,恬豆包,27
8,2941287,诊单,提督,221,恬豆包,27
9,5850658,rofflecake,提督,132,恬豆包,27
10,49855368,想起恐怖的事,提督,90,恬豆包,27
11,36269533,君ゆゆゆ魚,提督,76,恬豆包,26
12,52126672,zara447,提督,159,恬豆包,26
13,356892,阿斯特赖亚丶,提督,62,恬豆包,26
14,5607033,睡觉是爱好吃饭是特长,提督,72,恬豆包,26
15,231051,蕾恩・玛格特洛依德,提督,132,恬豆包,25
16,12205426,千稻草,提督,31,恬豆包,25
17,13927696,Marriovo,提督,65,恬豆包,25
18,1302082741,粗鲁卑鄙,舰长,721,恬豆包,29
19,149522,sed-i,舰长,582,恬豆包,29
20,385944,宝宝喝点水吧,舰长,411,恬豆包,29
21,12071021,纯良小羊,舰长,630,恬豆包,29
22,7833154,nothing-iwnl-,舰长,822,恬豆包,28
23,2482872,财前葵,舰长,491,恬豆包,28
24,2058228,冰尾青年事件簿,舰长,151,恬豆包,28
25,2966435,叙星晨,舰长,702,恬豆包,28
26,411146226,豆请给我一斤糖炒栗子,舰长,641,恬豆包,28
27,400702,月神二号,舰长,651,恬豆包,28
28,378823,不染葵,舰长,289,恬豆包,28
29,1686289594,丸梨普贝当,舰长,981,恬豆包,28
30,39140611,海蓝丶胜者悲歌,舰长,415,恬豆包,28
31,431956406,我的颜栗只有你,舰长,432,恬豆包,27
32,124003269,曲婉的小跟班,舰长,395,恬豆包,27
33,59955258,这个昵称已经有鬼用过了,舰长,305,恬豆包,27
34,26892910,大于3个小于30个字符,舰长,1107,恬豆包,27
35,43667411,蒼のエーテル,舰长,565,恬豆包,27
36,491121103,绯桂大好き,舰长,418,恬豆包,27
