rank,uid,username,type,accompany,medal_name,medal_level
1,222641849,VJOKERZJX,提督,712,恬豆包,30
2,2314835,KugimiyaNanase,提督,514,恬豆包,29
3,3546692863396694,早睡早起1855,提督,114,恬豆包,28
4,149522,sed-i,提督,457,恬豆包,28
5,7208836,幕兮丶GOGO,提督,73,恬豆包,27
6,495672142,说的豆理_纳豆奶奶,舰长,498,恬豆包,30
7,1302082741,粗鲁卑鄙,舰长,661,恬豆包,29
8,225883915,飘啊飘啊飘啊飘_,舰长,565,恬豆包,29
9,19977954,泠泠七弦上え,舰长,574,恬豆包,29
10,477273649,盐奶盖冷萃加氮,舰长,934,恬豆包,28
11,319263289,神棍老师麦迪武,舰长,160,恬豆包,28
12,7833154,nothing-iwnl-,舰长,726,恬豆包,28
13,385944,宝宝喝点水吧,舰长,238,恬豆包,28
14,224670,毛玉喵,舰长,459,恬豆包,28
15,12071021,纯良小羊,舰长,457,恬豆包,28
16,411146226,豆请给我一斤糖炒栗子,舰长,547,恬豆包,28
17,2372997,想上大舞台,舰长,463,恬豆包,28
18,1686289594,丸梨普贝当,舰长,808,恬豆包,27
19,4631465,禧浴搓澡巾,舰长,328,恬豆包,27
20,378823,不染葵,舰长,213,恬豆包,27
21,8573986,氕氘氚丿丿l丿ll,舰长,184,恬豆包,27
22,39140611,海蓝丶胜者悲歌,舰长,242,恬豆包,27
23,431956406,我的颜栗只有你,舰长,332,恬豆包,27
24,2482872,财前葵,舰长,414,恬豆包,27
25,2794950,梦怡少年,舰长,336,恬豆包,27
26,11509435,穹叶mmmmm,舰长,174,恬豆包,27
27,19393266,一颗太阳星r,舰长,384,恬豆包,27
28,26892910,大于3个小于30个字符,舰长,934,恬豆包,27
29,1764797,暗核,舰长,624,恬豆包,27
30,3499113,-谢谢你泰罗,舰长,271,恬豆包,27
31,43667411,蒼のエーテル,舰长,504,恬豆包,27
32,32438573,自爆前的沙鲁,舰长,414,恬豆包,27
33,4464599,天曦,舰长,366,恬豆包,27
34,44996524,吃土豆的木匠,舰长,214,恬豆包,27
35,28640116,我永远喜欢ちゅちゅ,舰长,434,恬豆包,27
36,22317289,逐迹寻星,舰长,182,恬豆包,26
37,96635934,流泪人吾皇,舰长,938,恬豆包,26
38,400702,月神二号,舰长,478,恬豆包,26
39,102748146,我要发动我的技能,舰长,386,恬豆包,26
40,7033332,BusyTime,舰长,241,恬豆包,26
41,66069738,叶青葱油饼,舰长,312,恬豆包,26
42,32933365,bekkibekkibe,舰长,497,恬豆包,26
43,6665522,辣牛奶不吃辣,舰长,944,恬豆包,26
44,491121103,绯桂大好き,舰长,325,恬豆包,26
45,12796481,绯色丶花,舰长,493,恬豆包,26
46,1580640,劝你纯良,舰长,439,恬豆包,26
47,93214,o秋-知弦o,舰长,84,恬豆包,26
48,408030089,流明的雨,舰长,129,恬豆包,26
49,151082,暴躁的妹唄唄,舰长,734,恬豆包,26
